"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1625762476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625762479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625762480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625762482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1625762483,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,8,1
1625762484,0,0,0,0,0,14,97,75,195,0,0,9,1,14,97,66,194
1625762485,0,0,0,0,0,29,133,105,267,14,97,75,195,15,36,30,72
1625762486,0,0,0,0,0,49,180,145,362,29,133,105,267,20,47,40,95
1625762487,0,0,0,0,0,69,228,185,458,49,180,145,362,20,48,40,96
1625762488,0,0,0,0,0,84,264,215,530,69,228,185,458,15,36,30,72
1625762489,0,0,0,0,0,104,312,255,626,84,264,215,530,20,48,40,96
1625762490,0,0,0,0,0,113,331,273,664,104,312,255,626,9,19,18,38
1625762491,0,0,0,0,0,133,381,287,764,113,331,273,664,20,50,14,100
1625762492,0,1,0,0,0,158,444,410,890,133,381,287,764,25,63,123,126
1625762493,0,1,0,0,0,182,479,458,960,158,444,410,890,24,35,48,70
1625762494,0,0,0,0,0,214,524,522,1051,182,479,458,960,32,45,64,91
1625762495,0,0,0,0,0,246,570,586,1143,214,524,522,1051,32,46,64,92
1625762496,0,1,0,0,0,277,616,648,1235,246,570,586,1143,31,46,62,92
1625762497,0,0,0,0,0,302,650,698,1303,277,616,648,1235,25,34,50,68
1625762498,0,0,0,0,0,329,696,753,1395,302,650,698,1303,27,46,55,92
1625762499,0,0,0,0,0,337,741,807,1485,329,696,753,1395,8,45,54,90
1625762500,0,0,0,0,0,357,777,847,1557,337,741,807,1485,20,36,40,72
1625762501,0,0,0,0,0,383,825,899,1653,357,777,847,1557,26,48,52,96
1625762502,0,0,0,0,0,405,871,942,1745,383,825,899,1653,22,46,43,92
1625762503,0,0,0,0,0,409,906,970,1815,405,871,942,1745,4,35,28,70
