"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621899288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621899289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621899290,0,0,0,0,0,4,76,57,153,0,0,0,0,4,76,57,153
1621899291,0,0,0,0,0,24,124,97,249,4,76,57,153,20,48,40,96
1621899292,0,0,0,0,0,39,160,127,321,24,124,97,249,15,36,30,72
1621899293,0,0,0,0,0,59,207,167,415,39,160,127,321,20,47,40,94
1621899294,0,0,0,0,0,74,243,197,487,59,207,167,415,15,36,30,72
1621899295,0,0,0,0,0,94,291,237,583,74,243,197,487,20,48,40,96
1621899296,0,0,0,0,0,114,339,277,679,94,291,237,583,20,48,40,96
1621899297,0,0,0,0,0,129,375,307,751,114,339,277,679,15,36,30,72
1621899298,0,0,0,0,0,149,423,347,847,129,375,307,751,20,48,40,96
1621899299,0,0,0,0,0,164,459,377,919,149,423,347,847,15,36,30,72
1621899300,0,0,0,0,0,184,506,417,1013,164,459,377,919,20,47,40,94
1621899301,0,0,0,0,0,193,553,472,1108,184,506,417,1013,9,47,55,95
1621899302,0,0,0,0,0,210,588,514,1178,193,553,472,1108,17,35,42,70
1621899303,0,0,0,0,0,242,634,578,1270,210,588,514,1178,32,46,64,92
1621899304,0,0,0,0,0,274,680,642,1362,242,634,578,1270,32,46,64,92
1621899305,0,0,0,0,0,306,726,706,1454,274,680,642,1362,32,46,64,92
1621899306,0,0,0,0,0,330,760,754,1522,306,726,706,1454,24,34,48,68
1621899307,0,0,0,0,0,362,806,818,1614,330,760,754,1522,32,46,64,92
1621899308,0,0,0,0,0,394,852,882,1706,362,806,818,1614,32,46,64,92
1621899309,0,0,0,0,0,426,898,946,1798,394,852,882,1706,32,46,64,92
1621899310,0,0,0,0,0,450,932,994,1866,426,898,946,1798,24,34,48,68
1621899311,0,0,0,0,0,482,978,1058,1958,450,932,994,1866,32,46,64,92
1621899312,0,1,0,0,0,514,1024,1122,2050,482,978,1058,1958,32,46,64,92
1621899313,0,0,0,0,0,546,1070,1186,2142,514,1024,1122,2050,32,46,64,92
1621899314,0,0,0,0,0,570,1105,1234,2212,546,1070,1186,2142,24,35,48,70
1621899315,0,0,0,0,0,601,1151,1296,2304,570,1105,1234,2212,31,46,62,92
1621899316,0,0,0,0,0,633,1196,1360,2394,601,1151,1296,2304,32,45,64,90
1621899317,0,0,0,0,0,666,1242,1426,2486,633,1196,1360,2394,33,46,66,92
1621899318,0,0,0,0,0,690,1277,1474,2556,666,1242,1426,2486,24,35,48,70
1621899319,0,0,0,0,0,722,1323,1538,2648,690,1277,1474,2556,32,46,64,92
1621899320,0,0,0,0,0,754,1369,1602,2740,722,1323,1538,2648,32,46,64,92
1621899321,0,0,0,0,0,786,1415,1666,2832,754,1369,1602,2740,32,46,64,92
1621899322,0,0,0,0,0,810,1449,1714,2900,786,1415,1666,2832,24,34,48,68
1621899323,0,0,0,0,0,842,1495,1778,2992,810,1449,1714,2900,32,46,64,92
1621899324,0,0,0,0,0,868,1535,1830,3072,842,1495,1778,2992,26,40,52,80
1621899325,0,0,0,0,0,886,1578,1894,3158,868,1535,1830,3072,18,43,64,86
1621899326,0,0,0,0,0,918,1624,1958,3250,886,1578,1894,3158,32,46,64,92
1621899327,0,0,0,0,0,950,1670,2022,3342,918,1624,1958,3250,32,46,64,92
1621899328,0,0,0,0,0,982,1716,2086,3434,950,1670,2022,3342,32,46,64,92
1621899329,0,0,0,0,0,1006,1751,2134,3504,982,1716,2086,3434,24,35,48,70
1621899330,0,0,0,0,0,1038,1797,2198,3596,1006,1751,2134,3504,32,46,64,92
1621899331,0,0,0,0,0,1069,1842,2260,3686,1038,1797,2198,3596,31,45,62,90
1621899332,0,0,0,0,0,1105,1887,2332,3776,1069,1842,2260,3686,36,45,72,90
1621899333,0,0,0,0,0,1131,1930,2384,3862,1105,1887,2332,3776,26,43,52,86
1621899334,0,0,0,0,0,1163,1977,2448,3956,1131,1930,2384,3862,32,47,64,94
1621899335,0,0,0,0,0,1186,2010,2494,4022,1163,1977,2448,3956,23,33,46,66
1621899336,0,0,0,0,0,1219,2056,2560,4114,1186,2010,2494,4022,33,46,66,92
1621899337,0,0,0,0,0,1251,2102,2624,4206,1219,2056,2560,4114,32,46,64,92
1621899338,0,0,0,0,0,1275,2138,2672,4278,1251,2102,2624,4206,24,36,48,72
1621899339,0,0,0,0,0,1307,2183,2736,4368,1275,2138,2672,4278,32,45,64,90
1621899340,0,0,0,0,0,1339,2229,2800,4460,1307,2183,2736,4368,32,46,64,92
1621899343,0,0,0,0,0,1365,2260,2852,4522,1339,2229,2800,4460,26,31,52,62
1621899344,0,0,0,0,0,1423,2329,2933,4660,1365,2260,2852,4522,58,69,81,138
1621899345,0,1,0,0,0,1454,2374,2997,4750,1423,2329,2933,4660,31,45,64,90
1621899346,0,0,0,0,0,1487,2420,3063,4842,1454,2374,2997,4750,33,46,66,92
1621899347,0,0,0,0,0,1511,2455,3111,4912,1487,2420,3063,4842,24,35,48,70
1621899348,0,0,0,0,0,1543,2501,3175,5004,1511,2455,3111,4912,32,46,64,92
1621899350,0,0,0,0,0,1578,2545,3245,5092,1543,2501,3175,5004,35,44,70,88
1621899351,0,0,0,0,0,1626,2629,3344,5260,1578,2545,3245,5092,48,84,99,168
1621899352,0,1,0,0,0,1651,2657,3394,5316,1626,2629,3344,5260,25,28,50,56
1621899353,0,0,0,0,0,1685,2716,3462,5434,1651,2657,3394,5316,34,59,68,118
