"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1622636898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622636899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622636900,0,0,0,0,0,2,57,43,115,0,0,0,0,2,57,43,115
1622636901,0,0,0,0,0,17,105,81,211,2,57,43,115,15,48,38,96
1622636902,0,0,0,0,0,37,152,121,305,17,105,81,211,20,47,40,94
1622636903,0,0,0,0,0,57,200,161,401,37,152,121,305,20,48,40,96
1622636904,0,0,0,0,0,72,236,191,473,57,200,161,401,15,36,30,72
1622636905,0,0,0,0,0,92,284,231,569,72,236,191,473,20,48,40,96
1622636906,0,0,0,0,0,107,320,261,641,92,284,231,569,15,36,30,72
1622636907,0,0,0,0,0,127,368,301,737,107,320,261,641,20,48,40,96
1622636908,0,0,0,0,0,147,416,341,833,127,368,301,737,20,48,40,96
1622636909,0,0,0,0,0,162,451,371,903,147,416,341,833,15,35,30,70
1622636910,0,0,0,0,0,182,499,411,999,162,451,371,903,20,48,40,96
1622636911,0,0,0,0,0,191,535,446,1072,182,499,411,999,9,36,35,73
1622636912,0,0,0,0,0,205,581,504,1164,191,535,446,1072,14,46,58,92
1622636913,0,0,0,0,0,237,627,568,1256,205,581,504,1164,32,46,64,92
1622636914,0,0,0,0,0,268,674,630,1350,237,627,568,1256,31,47,62,94
1622636915,0,0,0,0,0,293,707,680,1416,268,674,630,1350,25,33,50,66
1622636916,0,0,0,0,0,328,753,750,1508,293,707,680,1416,35,46,70,92
1622636917,0,0,0,0,0,355,796,804,1594,328,753,750,1508,27,43,54,86
1622636918,0,0,0,0,0,387,842,868,1686,355,796,804,1594,32,46,64,92
1622636919,0,0,0,0,0,419,888,932,1778,387,842,868,1686,32,46,64,92
1622636920,0,0,0,0,0,443,922,980,1846,419,888,932,1778,24,34,48,68
1622636921,0,0,0,0,0,475,968,1044,1938,443,922,980,1846,32,46,64,92
1622636922,0,0,0,0,0,501,1001,1096,2004,475,968,1044,1938,26,33,52,66
1622636923,0,0,0,0,0,536,1056,1166,2114,501,1001,1096,2004,35,55,70,110
1622636924,0,0,0,0,0,567,1102,1228,2206,536,1056,1166,2114,31,46,62,92
1622636925,0,0,0,0,0,600,1148,1294,2298,567,1102,1228,2206,33,46,66,92
1622636926,0,0,0,0,0,624,1182,1342,2366,600,1148,1294,2298,24,34,48,68
1622636927,0,0,0,0,0,656,1228,1406,2458,624,1182,1342,2366,32,46,64,92
1622636928,0,0,0,0,0,688,1274,1470,2550,656,1228,1406,2458,32,46,64,92
1622636929,0,0,0,0,0,720,1320,1534,2642,688,1274,1470,2550,32,46,64,92
1622636930,0,0,0,0,0,748,1362,1590,2726,720,1320,1534,2642,28,42,56,84
1622636932,0,0,0,0,0,765,1379,1624,2760,748,1362,1590,2726,17,17,34,34
1622636933,0,0,0,0,0,814,1449,1707,2900,765,1379,1624,2760,49,70,83,140
1622636934,0,1,0,0,0,846,1495,1771,2992,814,1449,1707,2900,32,46,64,92
1622636935,0,0,0,0,0,878,1541,1835,3084,846,1495,1771,2992,32,46,64,92
1622636936,0,0,0,0,0,902,1575,1883,3152,878,1541,1835,3084,24,34,48,68
1622636937,0,0,0,0,0,933,1621,1945,3244,902,1575,1883,3152,31,46,62,92
1622636938,0,0,0,0,0,966,1667,2011,3336,933,1621,1945,3244,33,46,66,92
1622636939,0,0,0,0,0,998,1713,2075,3428,966,1667,2011,3336,32,46,64,92
1622636940,0,0,0,0,0,1021,1748,2121,3498,998,1713,2075,3428,23,35,46,70
1622636941,0,0,0,0,0,1054,1794,2187,3590,1021,1748,2121,3498,33,46,66,92
1622636942,0,0,0,0,0,1086,1840,2251,3682,1054,1794,2187,3590,32,46,64,92
1622636943,0,0,0,0,0,1118,1886,2315,3774,1086,1840,2251,3682,32,46,64,92
1622636944,0,0,0,0,0,1142,1920,2363,3842,1118,1886,2315,3774,24,34,48,68
1622636945,0,0,0,0,0,1174,1966,2427,3934,1142,1920,2363,3842,32,46,64,92
1622636946,0,0,0,0,0,1206,2012,2491,4026,1174,1966,2427,3934,32,46,64,92
1622636947,0,0,0,0,0,1238,2058,2555,4118,1206,2012,2491,4026,32,46,64,92
1622636948,0,0,0,0,0,1262,2092,2603,4186,1238,2058,2555,4118,24,34,48,68
1622636949,0,0,0,0,0,1294,2138,2667,4278,1262,2092,2603,4186,32,46,64,92
1622636950,0,0,0,0,0,1326,2184,2731,4370,1294,2138,2667,4278,32,46,64,92
1622636951,0,0,0,0,0,1358,2230,2795,4462,1326,2184,2731,4370,32,46,64,92
1622636952,0,0,0,0,0,1382,2265,2843,4532,1358,2230,2795,4462,24,35,48,70
1622636953,0,0,0,0,0,1413,2310,2905,4622,1382,2265,2843,4532,31,45,62,90
